#start	end	length	mean	median	max
2298154	2298565	412	2.39	1	10
2299187	2299552	366	3.11	2	14
2302046	2302091	46	67.11	71	89
2302860	2303372	513	92.09	26	397
2306942	2307025	84	3.40	4	5
2307866	2307878	13	1.15	1	2
2308377	2308401	25	2.52	3	3
2309182	2309198	17	5.12	5	6
2309574	2309881	308	3.19	2	10
2311389	2311403	15	3.67	4	5
2313465	2313771	307	0.83	1	4
2314144	2314343	200	15.07	8	45
2315949	2315953	5	4.40	5.5	6
2317290	2317884	595	4.21	1	31
2318974	2319207	234	0.61	0	2
2325151	2325173	23	1.22	1	2
2327064	2327598	535	76.98	10	781
2334703	2334704	2	1.50	3	3
2335374	2335388	15	1.87	2	2
2336987	2337313	327	1.58	2	3
2340226	2340241	16	0.94	1	1
2342241	2342245	5	1.60	2	2
2342807	2342812	6	0.83	1	1
2343104	2343107	4	4.50	6	6
2343408	2343424	17	2.65	3	4
2343659	2343999	341	1.11	1	3
2344882	2345032	151	0.00	0	0
2345735	2345876	142	5.46	5	10
2346558	2347008	451	1.08	1	3
2348640	2348646	7	2.86	3	4
2350780	2350800	21	6.62	6.5	8
2351680	2351788	109	0.00	0	0
2351933	2352126	194	1.80	2	4
2352301	2352472	172	8.56	8	21
2354584	2354600	17	60.53	62	78
2354892	2355083	192	22.90	19	48
2355603	2355909	307	11.19	11	38
2356396	2357326	931	7.76	4	37
2357846	2358019	174	4.59	2	34
2358572	2359007	436	28.61	4	447
2359206	2359301	96	1.45	1	2
2359683	2359738	56	4.45	3	7
2360690	2361171	482	11.65	2	95
2362618	2362652	35	2.00	2	3
2363826	2363880	55	1.80	2	3
2364904	2365064	161	0.57	1	2
2366481	2366710	230	8.64	3	51
2366918	2367159	242	6.82	6	40
2368564	2368722	159	6.89	6.5	10
2369632	2369803	172	2.34	2	4
2369975	2370144	170	2.99	3	5
2370604	2370655	52	3.69	3	5
2372531	2373010	480	3.49	2	24
2373497	2373531	35	1.89	2	3
2374192	2374201	10	0.30	0	1
2374695	2374713	19	1.32	1	4
2375254	2375274	21	2.29	2	4
2376811	2377024	214	0.00	0	0
2378291	2378394	104	7.76	9	14
2381593	2381595	3	4.67	7	7
2383905	2384232	328	4.60	3	18
2385847	2386206	360	0.16	0	2
2387119	2387132	14	2.79	3	3
2387721	2387853	133	4.98	6	9
2388232	2388256	25	0.96	1	1
2389091	2389115	25	5.28	5	7
2389374	2389470	97	5.25	6	8
2390410	2390644	235	0.60	0	2
2391161	2391193	33	2.55	2	5
2391548	2391602	55	3.29	3	5
2394051	2394466	416	3.85	1	37
2395913	2395990	78	1.06	1	2
2397269	2397358	90	4.52	6	9
2397716	2397951	236	3.92	4	13
2398531	2398591	61	9.25	10	17
2399456	2399557	102	2.73	2	5
2401385	2401677	293	0.91	0	10
2406277	2406708	432	6.43	2	25
2407612	2407666	55	10.69	12	15
